R1, 50.80, 82.55, 180.00, 100, R0805
R10, 52.07, 43.18, 180.00, 100, R0805
R11, 52.07, 40.64, 180.00, 100, R0805
R12, 52.07, 36.83, 180.00, 100, R0805
R13, 53.34, 31.75, 0.00, 100, R0805
R14, 50.80, 26.67, 0.00, 100, R0805
R15, 50.80, 21.59, 0.00, 100, R0805
R16, 50.80, 16.51, 0.00, 100, R0805
R17, 93.98, 83.82, 90.00, 100, R0805
R18, 76.20, 71.12, 90.00, 100, R0805
R19, 72.39, 48.26, 90.00, 100, R0805
R2, 50.80, 78.74, 180.00, 100, R0805
R20, 90.17, 81.28, 270.00, 100, R0805
R21, 80.01, 67.31, 270.00, 100, R0805
R22, 76.20, 44.45, 270.00, 100, R0805
R23, 86.36, 78.74, 90.00, 100, R0805
R24, 83.82, 63.50, 90.00, 100, R0805
R25, 77.47, 39.37, 90.00, 100, R0805
R26, 81.28, 76.20, 270.00, 100, R0805
R27, 83.82, 58.42, 270.00, 100, R0805
R28, 72.39, 36.83, 270.00, 100, R0805
R29, 73.66, 30.48, 90.00, 100, R0805
R3, 50.80, 76.20, 180.00, 100, R0805
R30, 77.47, 26.67, 270.00, 100, R0805
R31, 83.82, 21.59, 90.00, 100, R0805
R32, 77.47, 20.32, 270.00, 100, R0805
R33, 101.73, 73.66, 90.00, 100, R0805
R4, 50.80, 73.66, 180.00, 100, R0805
R5, 50.80, 68.58, 0.00, 100, R0805
R6, 50.80, 64.77, 0.00, 100, R0805
R7, 50.80, 59.69, 0.00, 100, R0805
R8, 50.80, 55.88, 0.00, 100, R0805
R9, 52.07, 48.26, 180.00, 100, R0805
U1, 67.31, 80.01, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U2, 67.31, 66.04, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U3, 62.23, 44.45, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U4, 63.50, 25.40, 0.00, DS90LV047ATM, SOIC127P600X175-16N
U5, 38.10, 74.93, 0.00, SN74BCT543DW, SOIC127P1030X265-24N
U6, 38.10, 40.64, 0.00, SN74BCT543DW, SOIC127P1030X265-24N
